address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Grolloërstraat 26,,,Rolde,9451 KC,,249000,house,8,,,https://www.funda.nl/koop/rolde/huis-47282472-grolloerstraat-26/,1949
Eppinge 7,,,Annerveenschekanaal,9654 PL,,299500,house,5,,,https://www.funda.nl/koop/annerveenschekanaal/huis-49345346-eppinge-7/,1956
Oldend 9,,,Anderen,9465 TJ,,225000,house,4,,,https://www.funda.nl/koop/anderen/huis-40413628-oldend-9/,1957
Schoolstraat 14,,,Gieten,9461 AB,,250000,house,7,,,https://www.funda.nl/koop/gieten/huis-40522211-schoolstraat-14/,1930
De Hoefslag 79,,,Gasselte,9462 RX,,495000,house,7,,,https://www.funda.nl/koop/gasselte/huis-40692477-de-hoefslag-79/,2009
Nieuwediep 8 a,,,Nieuwediep,9512 SH,,375000,house,6,,,https://www.funda.nl/koop/nieuwediep/huis-40629788-nieuwediep-8-a/,1998
Leemakkers 9,,,Schipborg,9469 PS,,474000,house,6,,,https://www.funda.nl/koop/schipborg/huis-40621747-leemakkers-9/,1978
Papenvoort 3,,,Papenvoort,9447 TT,,550000,house,8,,,https://www.funda.nl/koop/papenvoort/huis-40637738-papenvoort-3/,1935
Noordzijde 207,,,Gasselternijveenschemond,9515 PG,,225000,house,6,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40871109-noordzijde-207/,1915
Paalslagen 30,,,Annen,9468 HM,,289500,house,6,,,https://www.funda.nl/koop/annen/huis-40801915-paalslagen-30/,1987
Germondylaan 9,,,Nooitgedacht,9449 PN,,525000,house,8,,,https://www.funda.nl/koop/nooitgedacht/huis-40819268-germondylaan-9/,2009
Achter 't Hout 10,,,Gieten,9461 TJ,,355000,house,7,,,https://www.funda.nl/koop/gieten/huis-49317173-achter-t-hout-10/,1921
Schoolstraat 20 en 20a,,,Gieten,9461 AB,,325000,house,5,,,https://www.funda.nl/koop/gieten/huis-40461210-schoolstraat-20-en-20a/,1958
Oelenboom 15,,,Gieten,9461 VA,,350000,house,6,,,https://www.funda.nl/koop/gieten/huis-40513370-oelenboom-15/,1968
Grote Kamp 94,,,Gieten,9461 LM,,249000,house,5,,,https://www.funda.nl/koop/gieten/huis-40759776-grote-kamp-94/,1987
Bonnen 59,,,Gieten,9461 TC,,850000,house,6,,,https://www.funda.nl/koop/gieten/huis-40555458-bonnen-59/,1994
De Haven 3,,,Annen,9468 CP,,639000,house,5,,,https://www.funda.nl/koop/annen/huis-40601194-de-haven-3/,2000
Gasselterweg 60,,,Gieten,9461 TM,,499000,house,10,,,https://www.funda.nl/koop/gieten/huis-40802887-gasselterweg-60/,1935
Achterweg 2,,,Gasselte,9462 TM,,385000,house,10,,,https://www.funda.nl/koop/gasselte/huis-40442996-achterweg-2/,1898
Gasselterweg 26,,,Gieten,9461 HC,,439000,house,7,,,https://www.funda.nl/koop/gieten/huis-40854682-gasselterweg-26/,1920
Esweg 24,,,Gieten,9461 HP,,245000,house,5,,,https://www.funda.nl/koop/gieten/huis-40867074-esweg-24/,1995
Greveling 14,,,Annerveenschekanaal,9654 PT,,476000,house,15,,,https://www.funda.nl/koop/annerveenschekanaal/huis-49943433-greveling-14/,1880
Gieterweg 1,,,Gasselte,9462 TC,,239000,house,4,,,https://www.funda.nl/koop/gasselte/huis-40703210-gieterweg-1/,1930
Schoolstraat 15,,,Rolde,9451 BE,,490000,house,7,,,https://www.funda.nl/koop/rolde/huis-40439730-schoolstraat-15/,1910
De Ziel 30,,,Rolde,9451 CN,,189000,house,5,,,https://www.funda.nl/koop/rolde/huis-40590479-de-ziel-30/,1971
Balloo 35,,,Balloo,9458 TA,,295000,house,8,,,https://www.funda.nl/koop/balloo/huis-40884354-balloo-35/,1963
Grensweg 3,,,Gieten,9461 TN,,439000,house,4,,,https://www.funda.nl/koop/gieten/huis-40812036-grensweg-3/,1938
Zuidzijde 50,,,Gasselternijveenschemond,9515 PK,,275000,house,5,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-40401077-zuidzijde-50/,1931
Nieuwediep 29,,,Nieuwediep,9512 SC,,225000,house,6,,,https://www.funda.nl/koop/nieuwediep/huis-40420741-nieuwediep-29/,1920
Tuinstraat 1,,,Gieterveen,9511 RA,,189000,house,4,,,https://www.funda.nl/koop/gieterveen/huis-40813990-tuinstraat-1/,1978
Tellinghof 4,,,Gieten,9461 AV,,200000,apartment,3,,,https://www.funda.nl/koop/gieten/appartement-40885013-tellinghof-4/,1993
Bonnen 38,,,Gieten,9461 TD,,399000,house,6,,,https://www.funda.nl/koop/gieten/huis-49901848-bonnen-38/,1910
Hoofdstraat 17,,,Rolde,9451 BA,,795000,house,9,,,https://www.funda.nl/koop/rolde/huis-49280530-hoofdstraat-17/,1906
Hoofdstraat 12,,,Schoonloo,9443 TJ,,525000,house,15,,,https://www.funda.nl/koop/schoonloo/huis-49238545-hoofdstraat-12/,1856
Kruisboomlaan 1 A,,,Grolloo,9444 PL,,279000,house,5,,,https://www.funda.nl/koop/grolloo/huis-40558443-kruisboomlaan-1-a/,1997
Woerdakkers 34,,,Gieten,9461 ED,,275000,house,6,,,https://www.funda.nl/koop/gieten/huis-40738184-woerdakkers-34/,1972
Hoornkampen 16,,,Rolde,9451 CK,,229500,house,5,,,https://www.funda.nl/koop/rolde/huis-40712165-hoornkampen-16/,1960
Hees 5,,,Gieten,9461 HM,,249000,house,5,,,https://www.funda.nl/koop/gieten/huis-40871937-hees-5/,1994
Kampstraat 18,,,Eext,9463 PV,,375000,house,7,,,https://www.funda.nl/koop/eext/huis-40815543-kampstraat-18/,1980
Hoofdstraat 11,,,Rolde,9451 BA,,869000,house,7,,,https://www.funda.nl/koop/rolde/huis-40612773-hoofdstraat-11/,1918
Borgweg 32 34,,,Schipborg,9469 PJ,,1875000,house,6,,,https://www.funda.nl/koop/schipborg/huis-49372860-borgweg-32-34/,1990
Asserstraat 4,,,Rolde,9451 AC,,869000,house,11,,,https://www.funda.nl/koop/rolde/huis-40487720-asserstraat-4/,1907
Oldend 4,,,Anderen,9465 TK,,485000,house,5,,,https://www.funda.nl/koop/anderen/huis-40668884-oldend-4/,1906
Gieterstraat 1,,,Eext,9463 PW,,799000,house,7,,,https://www.funda.nl/koop/eext/huis-40610579-gieterstraat-1/,1906
Hoofdstraat 37,,,Schoonloo,9443 TK,,1295000,house,10,,,https://www.funda.nl/koop/schoonloo/huis-49017980-hoofdstraat-37/,2001
Noordzijde 103,,,Gasselternijveenschemond,9515 PD,,465000,house,9,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-85641662-noordzijde-103/,1930
Oosteinde 17,,,Gasteren,9466 TA,,895000,house,4,,,https://www.funda.nl/koop/gasteren/huis-40523160-oosteinde-17/,2001
Gieterweg 22,,,Gasselte,9462 TE,,845000,house,9,,,https://www.funda.nl/koop/gasselte/huis-40547953-gieterweg-22/,1935
Vijverlaan 4,,,Rolde,9451 BH,,725000,house,7,,,https://www.funda.nl/koop/rolde/huis-40548569-vijverlaan-4/,2006
Hoofdstraat 21,,,Ekehaar,9454 PK,,400000,house,6,,,https://www.funda.nl/koop/ekehaar/huis-40624590-hoofdstraat-21/,1906
Boddeveld 6,,,Gieten,9461 JB,,515000,house,13,,,https://www.funda.nl/koop/gieten/huis-49287554-boddeveld-6/,1987
Vijzelweg 1,,,Eext,9463 TM,,895000,house,9,,,https://www.funda.nl/koop/eext/huis-40514914-vijzelweg-1/,1928
Heidesteeg 4,,,Schipborg,9469 PM,,1099000,house,10,,,https://www.funda.nl/koop/schipborg/huis-40615867-heidesteeg-4/,1998
Brinkstraat 13,,,Anloo,9467 PD,,498000,house,7,,,https://www.funda.nl/koop/anloo/huis-40614671-brinkstraat-13/,1910
Annerstreek 6,,,Annen,9468 AN,,675000,house,6,,,https://www.funda.nl/koop/annen/huis-40896111-annerstreek-6/,2008
Oostereind 14,,,Grolloo,9444 XD,,1185000,house,8,,,https://www.funda.nl/koop/grolloo/huis-49123934-oostereind-14/,1923
Parkvilla (Bouwnr. 12),,,Nooitgedacht,9449 PN,,384900,house,5,,,https://www.funda.nl/koop/nooitgedacht/huis-40416768-parkvilla-bouwnr-12/,2018
Parkvilla (Bouwnr. 13),,,Nooitgedacht,9449 PN,,374900,house,5,,,https://www.funda.nl/koop/nooitgedacht/huis-40416769-parkvilla-bouwnr-13/,2018
Kruisstraat 1,,,Annen,9468 CL,,499500,house,5,,,https://www.funda.nl/koop/annen/huis-49390108-kruisstraat-1/,1906
Telgenkamp 16,,,Rolde,9451 GG,,235000,house,6,,,https://www.funda.nl/koop/rolde/huis-40858998-telgenkamp-16/,1969
Keukenhof 2,,,Eext,9463 RD,,339000,house,6,,,https://www.funda.nl/koop/eext/huis-40414920-keukenhof-2/,1972
Boddeveld 14,,,Gieten,9461 JB,,250000,house,3,,,https://www.funda.nl/koop/gieten/huis-40581157-boddeveld-14/,1950
Vicarislaan 4,,,Gasselte,9462 SH,,298000,house,7,,,https://www.funda.nl/koop/gasselte/huis-40550677-vicarislaan-4/,1975
De Hoek 2,,,Gasteren,9466 PD,,315000,house,4,,,https://www.funda.nl/koop/gasteren/huis-40656994-de-hoek-2/,1969
Koffielaantje 43,,,Eexterveen,9658 PL,,289000,house,5,,,https://www.funda.nl/koop/eexterveen/huis-40679523-koffielaantje-43/,1989
Vaart 95,,,Gasselternijveen,9514 AC,,159000,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40851871-vaart-95/,1960
Veenhof 7,,,Gieten,9461 TG,,575000,house,8,,,https://www.funda.nl/koop/gieten/huis-49871513-veenhof-7/,1900
Julianalaan 59,,,Gieten,9461 BS,,675000,house,4,,,https://www.funda.nl/koop/gieten/huis-40681959-julianalaan-59/,2008
Schipborgerweg 3,,,Anloo,9467 TB,,635000,house,6,,,https://www.funda.nl/koop/anloo/huis-40876498-schipborgerweg-3/,1925
Zuidlaarderweg 104,,,Annen,9468 AJ,,439000,house,6,,,https://www.funda.nl/koop/annen/huis-40881095-zuidlaarderweg-104/,1968
Schoonloërstraat 62,,,Grolloo,9444 TH,,1950000,house,11,,,https://www.funda.nl/koop/grolloo/huis-49027264-schoonloerstraat-62/,2009
Drostenhof 3,,,Rolde,9451 KG,,569000,house,7,,,https://www.funda.nl/koop/rolde/huis-49133512-drostenhof-3/,1967
Gasselterweg 11,,,Gasselternijveen,9514 BK,,595000,house,13,,,https://www.funda.nl/koop/gasselternijveen/huis-49246863-gasselterweg-11/,1903
